CRICOS Provider Code,Institution Name,Location Name,Location Type,Address Line 1,Address Line 2,Address Line 3,Address Line 4,City,State,Postcode
00020G,Department of Training and Workforce Development,"South Metropolitan TAFE, Fremantle Campus",Location owned and operated by provider,15 Grosvenor St,,,,Beaconsfield,WA,6162
00020G,Department of Training and Workforce Development,"South Metropolitan TAFE, Kwinana Campus",Location owned and operated by provider,36 Berthold St,,,,Orelia,WA,6167
00020G,Department of Training and Workforce Development,"South Metropolitan TAFE, Mandurah Campus",Location owned and operated by provider,2 Education Dr,,,,MANDURAH,WA,6210
00020G,Department of Training and Workforce Development,"South Metropolitan TAFE, Munster Campus",Location owned and operated by provider,9 Gardiner Ave,,,,Munster,WA,6166
00020G,Department of Training and Workforce Development,"South Metropolitan TAFE, Murdoch Campus",Location owned and operated by provider,130 Murdoch Dr,,,,Murdoch,WA,6150
00020G,Department of Training and Workforce Development,"South Metropolitan TAFE, Rockingham Campus",Location owned and operated by provider,151 Simpson Ave,,,,Rockingham,WA,6168
00020G,Department of Training and Workforce Development,"South Metropolitan TAFE, Thornlie Campus",Location owned and operated by provider,44 Burslem Dr,,,,Thornlie,WA,6108
00020G,Department of Training and Workforce Development,"South Regional TAFE, Albany Campus",Location owned and operated by provider,5 Anson Rd,,,,Albany,WA,6330
00020G,Department of Training and Workforce Development,"South Regional TAFE, Bunbury Campus",Location owned and operated by provider,58 Robertson Dr,,,,Bunbury,WA,6230
00025B,The University of Queensland,"308 Queen Street, Brisbane, QLD 4000",Location owned and operated by provider,308 Queen Street,88 Creek Street (located behind 308 Queen St),,,Brisbane City,QLD,4000
00025B,The University of Queensland,Dutton Park Campus,Location owned and operated by provider,20 Cornwall Street,,,,Woolloongabba,QLD,4102
00025B,The University of Queensland,Gatton Campus,Location owned and operated by provider,The University of Queensland,Gatton Campus,,,GATTON,QLD,4345
00025B,The University of Queensland,Herston Campus,Location owned and operated by provider,Herston Rd,,,,HERSTON,QLD,4006
00025B,The University of Queensland,St Lucia Campus,Location owned and operated by provider,University of Queensland,,,,ST LUCIA,QLD,4072
00026A,The University of Sydney,Camden Campus (Plant Breeding Institute),Location owned and operated by provider,107 Cobbitty Rd,,,,Cobbity,NSW,2570
00026A,The University of Sydney,Camden Campus (Veterinary Science),Location owned and operated by provider,425 Werombi Rd,,,,Camden,NSW,2570
00026A,The University of Sydney,Mallett Street Campus,Location owned and operated by provider,88 Mallett St,,,,Camperdown,NSW,2050
00026A,The University of Sydney,Surry Hills Campus,Location owned and operated by provider,"Faculty Building, Level 6",2 Chalmers St,,,Surry Hills,NSW,2010
00026A,The University of Sydney,Sydney Conservatorium of Music,Location owned and operated by provider,The Greenway Building,Cnr Bridge and Macquarie Streets,,,Sydney,NSW,2000
00026A,The University of Sydney,"Sydney, CBD Level 16, 17 and 18, 133 Castlereagh Street",Arrangement with Non Registered Provider,133 Castlereagh St,"Sydney, CBD Level 16, 17 and 18",,,Sydney,NSW,2000
00026A,The University of Sydney,Taronga Conservation Society of Australia,Arrangement with Non Registered Provider,Bradleys Head Rd,,,,Mosman,NSW,2088
00026A,The University of Sydney,Taylors College (Waterloo) (School operations),Arrangement with other registered provider,965 Bourke St,,,,WATERLOO,NSW,2017
00026A,The University of Sydney,The University of Sydney,Location owned and operated by provider,Parramatta Rd,"Susan Wakil Health Building, D18 Western Avenue",,,CAMPERDOWN,NSW,2050
00026A,The University of Sydney,Westmead Campus,Arrangement with Non Registered Provider,Westmead Health Precinct,1 Mons Rd,,,Westmead,NSW,2145
00040C,Holmes Colleges Sydney Pty Ltd,Holmes Secondary College (ELICOS Operations),Location owned and operated by provider,Level 6,91 York St,,,SYDNEY,NSW,2000
00051M,ELC Career College Pty Ltd,"493-495 Kent St, Sydney, 2000",Arrangement with Non Registered Provider,493-495 Kent St,,,,Sydney,NSW,2000
00051M,ELC Career College Pty Ltd,ELC Career College,Location owned and operated by provider,Level 5 10 Quay Street,,,,Haymarket,NSW,2000
