"ACARA SML ID","School Name","Suburb","State","Postcode","School Sector","School Type","ICSEA Percentile","CRICOS Status","CRICOS Registered","Jitter","Match Type","CRICOS Provider Code","CRICOS Institution","CRICOS Location"
"49935","Bonython Primary School","Bonython","ACT","2905","Government","Primary","62","CRICOS registered","1","-0.2543","Location name, state and postcode","00643J","ACT Education Directorate","Bonython Primary School"
"49936","Calwell High School","Calwell","ACT","2905","Government","Secondary","34","CRICOS registered","1","-0.2256","Location name, state and postcode","00643J","ACT Education Directorate","Calwell High School"
"49937","Calwell Primary School","Calwell","ACT","2905","Government","Primary","52","CRICOS registered","1","-0.1969","Location name, state and postcode","00643J","ACT Education Directorate","Calwell Primary School"
"49938","Chapman Primary School","Chapman","ACT","2611","Government","Primary","86","CRICOS registered","1","-0.1682","Location name, state and postcode","00643J","ACT Education Directorate","Chapman Primary School"
"49939","Charles Conder Primary School","Conder","ACT","2906","Government","Primary","47","CRICOS registered","1","-0.1395","Location name, state and postcode","00643J","ACT Education Directorate","Charles Conder Primary School"
"49940","Duffy Primary School","Duffy","ACT","2611","Government","Primary","81","CRICOS registered","1","-0.1108","Location name, state and postcode","00643J","ACT Education Directorate","Duffy Primary School"
"49941","Fadden Primary School","Fadden","ACT","2904","Government","Primary","77","CRICOS registered","1","-0.082","Location name, state and postcode","00643J","ACT Education Directorate","Fadden Primary School"
"49942","Gilmore Primary School","Gilmore","ACT","2905","Government","Primary","38","CRICOS registered","1","-0.0533","Location name, state and postcode","00643J","ACT Education Directorate","Gilmore Primary School"
"49943","Gordon Primary School","Gordon","ACT","2906","Government","Primary","49","CRICOS registered","1","-0.0246","Location name, state and postcode","00643J","ACT Education Directorate","Gordon Primary School"
"49944","Gowrie Primary School","Gowrie","ACT","2904","Government","Primary","65","CRICOS registered","1","0.0041","Location name, state and postcode","00643J","ACT Education Directorate","Gowrie Primary School"
"49945","Lake Tuggeranong College","Greenway","ACT","2900","Government","Secondary","57","CRICOS registered","1","0.0328","Location name, state and postcode","00643J","ACT Education Directorate","Lake Tuggeranong College"
"49946","Lanyon High School","Conder","ACT","2906","Government","Secondary","49","CRICOS registered","1","0.0615","Location name, state and postcode","00643J","ACT Education Directorate","Lanyon High School"
"49947","Monash Primary School","Monash","ACT","2904","Government","Primary","73","CRICOS registered","1","0.0902","Location name, state and postcode","00643J","ACT Education Directorate","Monash Primary School"
"49948","Richardson Primary School","Richardson","ACT","2905","Government","Primary","25","CRICOS registered","1","0.1189","Location name, state and postcode","00643J","ACT Education Directorate","Richardson Primary School"
"49949","Mount Stromlo High School","Waramanga","ACT","2611","Government","Secondary","80","Not registered","0","0.1476","","","",""
"49950","Taylor Primary School","Kambah","ACT","2902","Government","Primary","66","CRICOS registered","1","0.1763","Location name, state and postcode","00643J","ACT Education Directorate","Taylor Primary School"
"49951","Theodore Primary School","Theodore","ACT","2905","Government","Primary","35","CRICOS registered","1","0.205","Location name, state and postcode","00643J","ACT Education Directorate","Theodore Primary School"
"49953","Wanniassa Hills Primary School","Wanniassa","ACT","2903","Government","Primary","72","CRICOS registered","1","0.2624","Location name, state and postcode","00643J","ACT Education Directorate","Wanniassa Hills Primary School"
"49954","Wanniassa School","Wanniassa","ACT","2903","Government","Combined","43","CRICOS registered","1","0.2911","Location name, state and postcode","00643J","ACT Education Directorate","Wanniassa School"
"49956","Good Shepherd Primary School","Amaroo","ACT","2914","Catholic","Primary","83","Not registered","0","0.3486","","","",""
"49957","Holy Family Primary School","Gowrie","ACT","2904","Catholic","Primary","77","Not registered","0","-0.3427","","","",""
"49958","Holy Spirit Primary School","Nicholls","ACT","2913","Catholic","Primary","80","Not registered","0","-0.314","","","",""
"49959","Holy Trinity Primary School","Curtin","ACT","2605","Catholic","Primary","94","Not registered","0","-0.2853","","","",""
